PK_CLIENTE,NOME_CLIENTE,EMAIL_CLIENTE,TIPO_CLIENTE,CPFCNPJ_CLIENTE,TS_INCLUSAO,DATA_NASCIMENTO_CLEINTE,ENDERECO_CLIENTE,CEP_CLIENTE,UF_CLIENTE
1,Vitor Peixoto,ferreiradaniela@example.com,PF,47591683039,2016-02-16T16:37:00.000Z,1992-09-07,"Trevo de da Conceição, 21
São Luiz
78156-593 Pires de Silveira / GO",80160975,GO
2,Luigi Martins,da-motaisabel@example.org,PF,28706935168,2021-01-25T13:23:00.000Z,1979-05-23,"Setor Juan Vieira, 247
Universitário
59342-320 Ribeiro de Minas / AP",20186848,AP
3,Lucas da Rosa,cfreitas@example.com,PF,51940327652,2017-01-04T11:09:00.000Z,1944-08-10,"Fazenda de Moura
Vila Trinta E Um De Março
56012309 Araújo / AM",99161510,AM
4,Lara Aragão,joao-lucascosta@example.com,PF,09648253765,2019-06-16T11:13:00.000Z,1985-08-10,"Avenida Santos, 20
Vila Mantiqueira
34579-230 da Cruz / MT",19720-769,MT
5,Daniela Lima,yago42@example.net,PF,71590426380,2015-09-19T11:11:00.000Z,1993-02-05,"Lago de Moraes, 592
Mirtes
10935-233 Nascimento de Peixoto / AL",96027-142,AL
6,Ana Lívia Souza,calmeida@example.com,PF,70614895375,2017-10-22T16:24:00.000Z,2005-04-12,"Favela Alves, 9
Vila Aeroporto
31934421 Novaes de Cardoso / AC",71428-512,AC
7,Matheus Aragão,barbosajuan@example.net,PF,59068432133,2022-03-27T15:44:00.000Z,1985-03-02,"Estação de da Rocha, 59
Aeroporto
24555159 Barbosa / GO",29456824,GO
8,Enzo Rocha,caiolima@example.org,PF,14672530817,2017-10-02T16:08:00.000Z,1980-01-05,"Loteamento Felipe Rocha, 8
Novo Glória
45229611 da Paz / SC",06016884,SC
9,Ana Lívia Rodrigues,ana-carolinacardoso@example.com,PF,42618095324,2021-01-06T13:34:00.000Z,2002-04-03,"Estrada de Costa, 56
Dona Clara
39213765 Cavalcanti / RN",29668-757,RN
10,Cecília da Paz,anthonymendes@example.net,PF,59041283633,2015-07-10T13:47:00.000Z,1990-03-27,"Rua Barbosa
Belmonte
20407522 Moura de Santos / MG",91891634,MG
11,Esther Peixoto,mnogueira@example.net,PF,09274561849,2021-09-08T11:36:00.000Z,1975-08-20,"Pátio Vitor Nogueira, 3
Vila Copacabana
34500762 Cardoso de da Costa / SE",60976-701,SE
12,Brenda da Costa,azevedojulia@example.net,PF,51983704601,2013-03-10T13:24:00.000Z,1983-06-28,"Viela Gonçalves, 56
Silveira
83067537 Cardoso do Norte / AL",40899-331,AL
13,Sophie Santos,tsantos@example.org,PF,96103847575,2019-12-20T10:56:00.000Z,1991-04-15,"Praça Maria Luiza Peixoto, 8
Sion
41511-505 da Luz do Sul / TO",51923031,TO
14,Rafaela Almeida,vicente09@example.org,PF,27139580405,2021-11-13T11:58:00.000Z,1967-02-07,"Sítio Luana Martins, 29
Calafate
26223-583 da Mata / MA",60290-611,MA
15,Francisco Peixoto,gabriela62@example.net,PF,51379208432,2019-01-18T11:13:00.000Z,1944-02-08,"Núcleo Gonçalves, 31
Vila União
41892762 Pinto da Serra / ES",58257-173,ES
16,Nicolas Almeida,arezende@example.org,PF,48235607107,2021-04-21T13:07:00.000Z,1992-12-18,"Ladeira Lorena Aragão, 5
São Bento
04689671 Moraes da Mata / SP",91014485,SP
17,Erick Souza,sarahda-cruz@example.org,PF,49286105711,2020-08-04T15:16:00.000Z,1991-10-01,"Núcleo Isabel Cunha, 21
Mineirão
97284-576 Rocha / PR",70742-709,PR
18,Leandro Araújo,brenda60@example.net,PF,16027549858,2011-05-27T11:26:00.000Z,1990-10-26,"Lago de da Mota, 7
Pindorama
62566-272 Costela do Oeste / CE",56676-337,CE
19,Juan Barros,oazevedo@example.net,PF,25086149398,2016-08-22T16:54:00.000Z,1983-05-16,"Pátio Ana Barros, 886
Santa Cecilia
73540-002 Almeida da Mata / RS",21639683,RS
20,Ana Vitória da Mota,lara19@example.org,PF,58726043190,2019-05-06T14:05:00.000Z,1948-10-06,"Jardim Jesus, 78
Grota
53048-107 Pires de Barros / SE",77711-131,SE
21,Sarah da Costa,cda-rosa@example.net,PF,68901537230,2012-03-06T12:40:00.000Z,1998-03-10,"Praça Enrico Gomes, 583
Vila São Paulo
89784-430 Castro / CE",33408-860,CE
22,Felipe Nogueira,erick95@example.org,PF,84351027690,2014-10-27T11:34:00.000Z,1958-09-28,"Esplanada de Cunha, 9
Santa Rita De Cássia
59026-228 Cunha / SP",79332365,SP
23,Lara Costela,ncavalcanti@example.org,PF,57820146362,2015-09-21T11:37:00.000Z,1996-02-27,"Chácara Luiz Henrique Cunha, 663
Vila Sumaré
60305-357 Ferreira / MS",40598025,MS
24,Augusto Rodrigues,araujolucca@example.org,PF,51029387460,2015-09-18T14:42:00.000Z,1971-11-05,"Via Melo, 16
Nova America
88709-166 Almeida / PE",98215323,PE
25,Augusto da Cunha,melissacardoso@example.com,PF,91758406267,2022-08-25T15:51:00.000Z,1995-12-10,"Área de Sales
Brasil Industrial
42738-526 Fogaça do Amparo / MG",48487089,MG
26,Gabrielly Ferreira,ramosagatha@example.net,PF,57082693168,2021-07-10T13:22:00.000Z,2008-03-24,"Rua de Mendes, 44
Canadá
39852-250 da Costa / MS",44576-962,MS
27,Alexandre da Conceição,piresfernando@example.com,PF,74308926556,2019-09-02T12:20:00.000Z,1947-09-02,"Rodovia Viana, 566
Jonas Veiga
06448-885 da Mota das Pedras / SE",08296570,SE
