PK_COLABORADOR,NOME_COLABORADOR,EMAIL_COLABORADOR,CPF_COLABORADOR,DATA_NASCIMENTO_COLABORADOR,ENDERECO_COLABORADOR,CEP_COLABORADOR,UF_COLABORADOR
1,Mirella Martins,dda-mata@example.net,08173594600,1966-02-04,"Estação de Teixeira
Vila Madre Gertrudes 2ª Seção
04133-564 Araújo de Pires / PE",92847600,PE
2,Lara Santos,pteixeira@example.com,76854120390,1988-06-25,"Área de Martins, 54
Conjunto Bonsucesso
43484658 Porto Paulista / AM",68997-717,AM
3,Luiz Henrique Rocha,rodriguesolivia@example.net,93421078505,1969-12-18,"Alameda de Fogaça, 60
Araguaia
33543-326 Moraes de Santos / CE",26210551,CE
4,Marcela da Conceição,mcosta@example.com,13946702570,1989-06-05,"Avenida de Campos, 513
Tres Marias
67624232 Correia / AM",66423556,AM
5,Alexandre Nascimento,olivia97@example.org,71936082403,1979-04-13,"Aeroporto Maria Cecília Rocha, 39
Serra Do Curral
08025-854 Cardoso da Praia / MA",42178150,MA
6,Juan Barbosa,cavalcantithomas@example.org,40352719850,1994-05-05,"Sítio da Rocha, 55
Primeiro De Maio
28360-153 da Costa do Campo / RJ",42832-180,RJ
7,Arthur Almeida,joaquim97@example.org,05726419820,1984-09-15,"Viaduto de Gonçalves, 74
São Cristóvão
01429653 Silveira Grande / AM",34036-919,AM
8,Ana Julia Santos,novaesjoaquim@example.com,36980521721,1977-07-12,"Sítio de Costa, 35
Vila Nova Cachoeirinha 3ª Seção
63293-091 Costela de Nunes / PA",12336451,PA
9,Thomas Oliveira,costabryan@example.com,30825419760,1968-09-26,"Núcleo Laís Azevedo, 5
Araguaia
54719-411 Campos / MT",98970895,MT
10,Raul da Conceição,monteiroelisa@example.net,18596237437,1973-07-22,"Loteamento de Ramos, 606
São Gabriel
47376-720 Costela / PI",31750769,PI
11,Rafael Carvalho,danielafernandes@example.org,72615304925,1991-04-26,"Morro de Ferreira, 535
Marilandia
97024998 da Luz da Mata / PE",73390-636,PE
12,Ryan da Conceição,giovannacavalcanti@example.net,34250691870,1978-02-14,"Estação de Rezende, 33
Vila Betânia
65202-821 Silva / PI",59741896,PI
13,Marcela Rocha,henriqueda-luz@example.com,50324789114,1964-03-16,"Ladeira de Porto, 9
Distrito Industrial Do Jatoba
71922-717 Lima de Souza / SE",42103-068,SE
14,João Lucas Santos,araujoana-vitoria@example.net,81376954001,1984-11-13,"Condomínio Araújo
Vera Cruz
78170-346 da Paz da Serra / SE",75795-729,SE
15,Luigi Moraes,camposgiovanna@example.org,76103852986,1973-07-06,"Distrito Pinto, 107
Vila São Francisco
49169341 Santos de Minas / TO",41720355,TO
16,João Pedro Rodrigues,pauloviana@example.com,78563092456,1976-07-07,"Largo Rafaela Melo, 70
Ouro Minas
69059-793 das Neves / RJ",89639-006,RJ
17,Brenda Gomes,laragao@example.com,71682095401,1984-11-02,"Vale de da Rocha, 10
Conjunto São Francisco De Assis
67758-550 Moraes / PR",62228145,PR
18,Isabel Melo,costabenicio@example.org,02863197568,1983-02-17,"Recanto de Ribeiro, 68
Vila Fumec
92500120 Viana / GO",90019993,GO
19,Enrico Lopes,oviana@example.com,19657403839,1978-11-08,"Ladeira de Teixeira, 4
São Vicente
74386-933 das Neves / TO",98758451,TO
20,Marcelo Ramos,heitor34@example.org,27943805674,1984-04-03,"Praia Daniela Nunes, 10
Vila Trinta E Um De Março
92370116 Silva Grande / AP",74002-728,AP
21,Bruno da Paz,wmoura@example.org,53406297161,1982-05-07,"Alameda de Aragão, 5
Monte Azul
28055-168 Jesus / SC",64363-566,SC
22,Laura Cunha,lviana@example.org,21758309695,1971-05-21,"Núcleo Costa, 60
Vila Pinho
23585489 da Conceição / RJ",19415-341,RJ
23,Alana Gomes,samuel76@example.com,76813495020,1971-08-13,"Fazenda Emilly Costa
Campo Alegre
55916-800 da Cunha de Rocha / SE",88161-168,SE
24,Maitê Correia,carlos-eduardo92@example.com,03124879678,1991-02-14,"Largo de Lima, 13
Boa União 1ª Seção
49023-064 Rocha do Sul / PE",94709-044,PE
25,Pietra da Mota,ianviana@example.net,45238901704,1989-01-03,"Trevo Bruno Azevedo
Engenho Nogueira
17313-814 Porto de Goiás / RN",71636-333,RN
26,Pietra Caldeira,gustavo-henriquecastro@example.com,72508391603,1971-08-24,"Morro de Barbosa, 34
Outro
67244639 Barbosa de Melo / RS",60848973,RS
27,Vitória Ramos,barbara58@example.com,81409653242,1991-04-16,"Fazenda de Pinto, 27
Pirineus
57057184 da Paz / MS",36777-821,MS
28,Pedro Lucas Silveira,kda-cunha@example.com,82345679000,1994-01-26,"Trecho de Duarte, 903
Leticia
22951015 Nascimento / RR",87312248,RR
29,Theo Peixoto,ncosta@example.net,57831096221,1979-02-22,"Fazenda Peixoto, 68
Marieta 3ª Seção
99059-719 Porto / SE",47431-701,SE
30,Helena Lopes,antoniomonteiro@example.org,92870634196,1978-08-12,"Área Enrico Caldeira, 9
Santa Cecilia
37808172 Rocha da Prata / PB",48143-984,PB
31,João Gabriel Sales,emanuella17@example.net,78429053123,1975-09-22,"Viaduto Evelyn Barros, 3
Esperança
32106-213 Alves / AP",68318-573,AP
32,Rafael Lima,barbara20@example.com,25813406735,1992-08-02,"Rua Barros, 31
Nossa Senhora De Fátima
18227383 Costela de da Conceição / AL",99670827,AL
33,Nina da Paz,marcos-vinicius15@example.com,01524876976,1985-05-27,"Aeroporto Sales, 9
Dom Cabral
65434-712 Duarte de da Mota / SE",58132667,SE
34,Agatha das Neves,sdas-neves@example.com,01948356260,1988-11-02,"Travessa Luiz Fernando Melo, 97
Vila Independencia 2ª Seção
80540477 Moura da Mata / MS",44195-945,MS
35,Marcos Vinicius da Rosa,joao-miguel07@example.org,63704192570,1974-04-01,"Fazenda Eduarda Porto, 67
Etelvina Carneiro
39556484 da Costa Grande / ES",86752-241,ES
36,Vinicius Campos,barbosabrenda@example.org,70814953204,1964-06-27,"Lagoa Barbosa, 77
Universo
85582-964 Correia / PE",49172-842,PE
